medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total,nextpickuptime,key,trippolyline,nextpolyline
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:49,8/1/13 6:55,1,-74.015877,40.715366,-74.008888,40.702747,7.5,CSH,0,0.5,0,0,8,8/1/13 6:59,10,weowFrewbMi@a@??\yDGOXmDFg@??PD`C`@f@J^Hf@N\JpBz@bARx@Jx@Dd@B`@DtANhALbC\|@Px@NJB\JrBf@hBd@fDdARB~@VLBLDJBHDHDJBr@T??b@DP@J?J@J@N@H@HBLBTFbD~@NDF@F@H@F@@?@?@?@?D@N@D?@?b@?H?FAh@Kv@SjCq@vA_@VGLEBAFCLEFCJG\SJGNKPOFGXYh@w@DI`@eADOPs@Hs@DW?CDs@AO?MAo@GuAKeA?EKo@?EEYCKS}@E[WgBq@{EKo@Ok@IWCK??O}@?CCMeCiFGKGGGCI?E@IFCDA@?@?F?J@L??rAlC,uvlwF~yubMDJz@nBj@nBBDJf@Rp@^lCj@|DJdA???FADCBGB]Hw@Ny@N[H??FX?DDzB?DANAHCHk@t@C@QRMJKFIDMFMDUDE@G?K@E?IAk@G{BUWEKAG?O?UC??EVEVGXCPEREd@G\CXE^ATAV?\Bt@Bp@BV@P@VD`@?J?HAHAJAHCL?FG\IPILADCBOTMJEDGDMJOHSHQDI@K@K@O?KAIAOAUGa@KECKCIEKESKOI]S}ByA}@m@
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:59,8/1/13 7:05,1,-74.016861,40.707752,-74.009148,40.718739,6.5,CRD,0,0.5,1.4,0,8.4,8/1/13 7:16,11,qvmwFrlwbMeAq@??{@dC??}ByAs@c@QKIE_A_@}@W??`@_DFk@@MDk@Bs@??MCsBUe@IWGOCQCKA]?_@?WAWAUCQEKCOEIESIQIGCKCMAQEi@IWEQCc@ISEUCcBi@WOc@O]KQE]K[I_@GqAUUCSEaBUwB[oCc@qBUqFy@[E??@UN}B\uFRmE@_@,yzowFf|ubMDcA??kAKs@CYEk@I}@M}BSGCgCUeCW[CaBQeCWc@E[E]?cDYwBWQCcBQKAwCWoCW{BQUA??`@eJj@eM??o@SeAc@UIc@OoEeBOIQG}CuAkB_A_CyAuBwA{ByAmCiBiBiA_C{Ai@_@kAw@_C}A_CwAkCcBeCiBcC}AsBsAsBuAsBsAuBuAuBuAyByAoAw@KIGEa@YeCaByBwA}ByA{B{AwBwA}ByA{ByA{ByAeBkA
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:16,8/1/13 7:26,1,-73.988655,40.748341,-73.989555,40.772224,9.5,CSH,0,0.5,0,0,10,8/1/13 7:29,12,otuwF||qbMUOuByAQMuBuAgC}A{BwA{BwA{BwA}ByAwB_B}BwAIIeBeAUOeCcB}B{A{B{A{BwA_CyA{ByA{B}A{ByAaC{AyByA_CyAyB_B}B{A{BwAgCcB??wApEKZo@nB{AzE{ClJqAdEoBfG_CpHoFvPeDjKENaAxC??{@i@kAw@}@i@aAk@??q@c@gAw@??\gA,qhzwFhbrbM`BkFhBeG??yByA}B{AyB_BwByA_C_BcCsA??qFvP??v@f@hAt@t@j@dAp@dAl@ZR
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:29,8/1/13 7:39,1,-73.988625,40.774307,-73.989349,40.753822,9,CSH,0,0.5,0,0,9.5,8/1/13 7:43,13,evzwFh{qbM\Rr@d@hAr@h@`@pA~@dAp@v@d@fAv@p@b@??`Aj@|@h@??Rm@DOtEyNjE_Nb@uA??dC`BfC`B|BxA|BxAzB~AzBxAzBtA~B~AxBzA|BzAzBxA|@h@`An@zBzAtA|@d@\~BxAr@f@rAz@pBxAvA|@r@d@xBxA|@j@`Aj@??vB}GtB{GzBeH~@yC,avvwFt`rbMp@yB??|BzAvB|AxB~Ax@d@n@\^RbC|At@f@\Tf@\??nFyPj@cB??b@DpBV??eA`D{@lC
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:43,8/1/13 7:53,1,-73.989662,40.748486,-73.980087,40.758312,8,CSH,0,0.5,0,0,8.5,8/1/13 8:09,14,esuwFvcrbMuDhL??|BxA??dC{HX}@@ElAwD??{ByA{B{AuByAQMuBuAgC}A{BwA{BwA{BwA}ByAwB_B}BwAIIeBeAUOeCcB}B{A{B{A{BwA_CyA{ByA??`BgF,oqwwFfgpbMdAgDhAmD\iAfBwF^kA??{B{A}ByA}B{A}ByA{B{A{ByA}B{A}ByAeCcBgCeB{BwAiAu@s@c@{B{A}B{A{ByA}B{A{ByA}B{A_C{AyByA}ByA}B}A{B{AgCaBgCcB_C{A}B{A_C}A_C{A}B}AgCaBgCeByBwAeC_ByB}AcCwA??dCmHPi@??eC_BgCcBgC_B}B{A}BwA}AcA
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:09,8/1/13 8:27,1,-73.955322,40.782524,-73.979607,40.76228,13,CRD,0,0.5,2.7,0,16.2,8/1/13 8:35,15,}i|wF`lkbM_@W_C{A??M`@_CnHeC`I??jBnADBJF|BvA|BzAzB|AjC|AfCbBzB~A|AdAb@Z`BdAZPdCzAtBzAfBjAZTJFTNjBlA~BzA~AdAZR~B~A~B~A|BxAfCbBhC~A|@j@~@n@bBhAVPzBxA|BxA`@XxAbA|BzA|BzA|BvAzBzAzB|AxBzAxBvA`CzAhCdBdC`BzBxAzB`B|BxA??eDfKqA~DY|@w@fC,}ixwFndpbMsAdE{@lCc@tAqAdE}CrJ??}ByA{B}A}ByAeCcBaAk@]Si@_@eAo@??BO@E@G?E?G@E?G?GAC?EAEAEACACCEACEECEMKECEAEAA?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@K?M?E?CAC?EAEAEAEAGCECIEKGaBgA_@WIGCAEEIG[Y_@W{@g@GC{@k@??_@jA
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:35,8/1/13 8:43,1,-73.98069,40.770435,-73.971786,40.760441,8,CRD,0,0.5,1.5,0,10,8/1/13 8:48,16,{_zwFbipbMaCvHQf@??`DAhDGdA?`BA\Ap@@P?Z@??FLBBBBB@D@B@B@D@D?@?D?D?@ALEHCDE@CBC@CBCDIBO@E@G?E?G@E?G?GNMFCDCDADAF?F?v@L\D|@HhAF??zCmJzA{En@oBJ[vAqExAsEvDqLdCaI|BoH??fCbBnBnA,s_xwFjrnbMLH|BzA|BxAzBvA??Ne@|BeH??`@XzAdA|BpA|BzAzBxAzB~A??iAhD
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:48,8/1/13 8:59,1,-73.974419,40.755249,-73.9561,40.766884,9.5,CRD,0,0.5,2.5,0,12.5,8/1/13 9:01,17,w}vwFhdobMQh@c@vA??m@_@qAw@{B{AyB}A{B}A}B}AyBwA_CyA_C{AyB{AgCcBgC}A{B{A??`CqHbC}H|DcM~@yCt@cCbA_DJYbBkFzAyE??o@c@CACACAACA?CCCAA??AKGECa@UQMiBmA{ByAeAs@q@e@KGSOcBaA}B{A}B{A{ByA}B{A{ByA}B_ByByA??{CjJ,khywFjpkbMc@tA??cAq@cAo@??|DaM??hC`B??w@bC
6D49E494913752B75B2685E0019FF3D5,8/1/13 9:01,8/1/13 9:23,1,-73.954742,40.766663,-73.9785,40.759815,14,CRD,0,0.5,3.62,0,18.12,8/1/13 9:32,18,geywFbikbMgC|HiE|MyDzLiC`I??~BxA|BxA|BxAzBzAzB~A|BvAzBzAxB|A`CvAzBxA|BzAd@Zr@d@b@Xl@`@lAv@dCbBfCbBzBzAzBxAjBlAPNzB|A`@XzAdA??yApEc@pAOb@aBhF_@fAgBvF_@jAgB|Fe@tA,g|wwFh|obM_BzEc@tAaCzHELeBlF??|B|AzB|A??_AvCkDvK??m@_@
6D49E494913752B75B2685E0019FF3D5,8/1/13 9:32,8/1/13 10:02,1,-73.986298,40.761848,-73.994621,40.727985,19.5,CRD,0,0.5,1,0,21,8/1/13 10:28,19,yhxwF~mqbMoAy@??fDoK??`CpANFf@PlAj@??ZcAZaAlD}KZ_Ad@yAfDoKhAmD\iA??|BvA|BzAzBzAzBzAl@`@nAx@bC`Bb@XdBdAbBjATNzBxAzBzAxBtAzB|AzBtAfC|AbCdB|BzAxBvAzBvAzBzAxBzAfBhAPL|BzA|BvAn@`@XRXRJFdAp@RPr@d@dCdBzBtArBtAtBtAtBrAtBrArBvA|B~AxA~@LH`@V??t@{BDMbBqFTs@Ts@b@wA??dDb@hCZNBtC^NBh@HF@nATlBzAtB`BbBnAfBxArB~AtBdBpAdA,{tqwFhasbMb@\zBdB`CpB??z@sBTm@HGTi@JY??MKs@e@y@k@QIQKqBwAmB{AgBsA[Ys@e@UQMKq@i@k@e@KIKKe@c@GIEEKQ??PcC@]F{@No@R]??_Ak@y@m@sBoAyBuA_CcB}ByAkCaBiCcB_C}AuBsAqBwAuBsAuBsAuBwAaBcA
